title,brand_name,item_type,condition,price,item_subtype,department,gender,age_group,size,size_type,color_primary,color_secondary,material_primary,material_secondary,pattern,closure,fit,sleeve_length,neckline,style,occasion,season,sport,model_name,product_line,style_code,has_box,condition_detail,release_year,original_price,initial_price,initial_price_catalog_item
New Naeem Khan Two Tone Gold Beaded Fringe Great Gatsby Silk Cocktail Dress US 6 Opens in a new window or tab,Naeem Khan,dress,new,1200.0,cocktail dress,dresses,women,adult,6,US,gold,,silk,,,,,,,Great Gatsby,,,,,,,,Brand New,,2500.0,248.0,Maxi Dress
Ralph Lauren Women's Black Twist Front Round Neck Cap Sleeve Dress Size 16 Opens in a new window or tab,Ralph Lauren,dress,new,38.07,cap sleeve dress,dresses,women,adult,16,,black,,,,,,,cap sleeve,round neck,,,,,,Lauren Ralph Lauren,,,Brand New,,98.0,248.0,Maxi Dress
New w/Tag Lilly Pulitzer Blue Hollee High Tide Lucky Bamboo Dress - Size Medium Opens in a new window or tab,Lilly Pulitzer,dress,new,49.95,,dresses,women,,Medium,,Blue,,,,,,,,,,,,,Hollee High Tide Lucky Bamboo,,,,Brand New,,198.0,248.0,Maxi Dress
"NWT. J.Jill Women's Sleeveless Yellow Daisy Dress Size L, front pockets/pleats Opens in a new window or tab",J.Jill,dress,new,14.5,sleeveless dress,dresses,women,adult,L,,yellow,,,,daisy,,,sleeveless,,,,,,,,,,NWT,,98.0,248.0,Maxi Dress
The Drop Womens Sade Linen Cut Out Midi XL Opens in a new window or tab,The Drop,dress,new,14.99,midi dress,dresses,women,adult,XL,,,,linen,,,,,,,,,,,Sade,,,,Brand New,,49.99,298.0,Midi Dress
NWT Torrid Women's One Shoulder Gown Dress Ivory Gold Metallic Shimmer Size 28 Opens in a new window or tab,Torrid,dress,new,18.05,gown,dresses,women,adult,28,,Ivory,Gold,,Metallic,Shimmer,,,,One Shoulder,,,,,,,,,Brand New,,98.0,248.0,Maxi Dress
Wenrine Womens Long Sleeve Mini Dress Square Neck A Line Mint Color Size XL Opens in a new window or tab,Wenrine,dress,new,21.56,mini dress,dresses,women,adult,XL,,mint,,,,,,,long,square,A Line,,,,,,,,Brand New,,39.99,248.0,Maxi Dress
The Drop womens Iona Long-sleeve Hooded Mini Sweatshirt Dress 2X Opens in a new window or tab,The Drop,dress,new,18.99,sweatshirt dress,dresses,women,,2XL,,,,,,,,,long-sleeve,,,,,,Iona,,,,Brand New,,49.99,150.0,Shirt Dress
The Drop Womens Hank Vegan Leather Square Neck Mini Dress 2X Opens in a new window or tab,The Drop,dress,new,29.99,mini dress,dresses,women,adult,2XL,,,,Vegan Leather,,,,,,Square Neck,,,,,Hank,,,,Brand New,,49.99,248.0,Maxi Dress
"Eliza J Metallic Floral Jacquard Ballgown,bronze/black, Sz 0, New Opens in a new window or tab",Eliza J,dress,new,129.0,ballgown,dresses,women,,0,,bronze,black,,,floral,,,,,,,,,,,,,New (Other),,249.99,,Maxi Dress
Free People Sully Dress Women’s Sz XL Raisin Combo Babydoll Dress Burgundy Opens in a new window or tab,Free People,dress,new,40.0,babydoll dress,dresses,women,adult,XL,,burgundy,raisin,,,,,,,,,,,,Sully Dress,,,,Brand New,,128.0,248.0,Maxi Dress
Banana Republic Dress Women 6 Black Texture Shimmer One Shoulder Bow Formal Opens in a new window or tab,Banana Republic,dress,new,13.18,,dresses,women,adult,6,,Black,,,,Texture,,,,One Shoulder,,Formal,,,,,,,Brand New,,98.0,248.0,Maxi Dress
Halara Women's Large Workout Dress with Built-In Shorts and Bra Racerback Opens in a new window or tab,Halara,dress,new,20.0,workout dress,dresses,women,adult,L,,,,,,,,,,racerback,,,,,,,,,Brand New,,39.99,248.0,Maxi Dress
Yoana Baraschi Dress NWT Size 10 Navy/Black Floral Knee Length Dress NYC Opens in a new window or tab,Yoana Baraschi,dress,new,21.0,knee length dress,dresses,women,,10,,navy,black,,,floral,,,,,,,,,,,,,NWT,,298.99,248.0,Maxi Dress
Tuckernuck brand new floral long dress size S Opens in a new window or tab,Tuckernuck,dress,new,65.0,long dress,dresses,women,,S,,,,,,floral,,,,,,,,,,,,,Brand New,,128.0,248.0,Maxi Dress
Ted Baker Women Kassiah Pleated Halter Blue Navy Velour Midi Dress TB 2 US 6 NWT Opens in a new window or tab,Ted Baker,dress,new,88.96,halter midi dress,dresses,women,adult,6,US,blue,navy,velour,,pleated,,,,halter,,,,,Kassiah,,TB 2,,NWT,,198.0,298.0,Midi Dress
JoyLab Women's Knit Sporty Contrast Active Dress White Size Small Opens in a new window or tab,JoyLab,dress,new,18.67,sporty contrast active dress,dresses,women,adult,Small,,White,,Knit,,,,,,,sporty,active,,,,,,,Brand New,,39.99,248.0,Maxi Dress
On 34th Women's Gold Gaiaa Bow Block-Heel Dress Sandals Shoes Size 7M Opens in a new window or tab,On 34th,dress,new,20.98,block-heel dress sandals,footwear,women,adult,7M,,gold,,,,,,,,,,,,,Gaiaa,,,,,,69.99,248.0,Maxi Dress
$700 Badgley Mischka Square Neck Dress Embellished Bolero Pearl Modest LBD sz 4 Opens in a new window or tab,Badgley Mischka,dress,used,199.0,LBD,dresses,women,,4,,,,,pearl,,,modest,,square neck,,,,,,,,,New (Other),,695.0,248.0,Maxi Dress
NWOT $176 Lilly Pulitzer Sleeveless Dress Women’s Sz 10 Cammie Sea Kelly Green Opens in a new window or tab,Lilly Pulitzer,dress,used,80.96,,dresses,women,adult,10,,Green,,,,,,,Sleeveless,,,,,,Cammie,,,,New (Other),,176.0,248.0,Maxi Dress
"R & M Richards Women's Embroidered Jacket, Navy/Champagne, 12 (Jacket Only) Opens in a new window or tab",R & M Richards,jacket,new,15.99,embroidered jacket,outerwear,women,adult,12,,Navy,Champagne,,,embroidered,,,,,,,,,,,,,Brand New,,49.99,128.0,Denim Jacket
2-Piece R&M Richards Navy Career Office Dress W/Jacket & Necklace Sz 14 NWT Opens in a new window or tab,R&M Richards,dress,new,27.0,2-piece career office dress,dresses,women,adult,14,,Navy,,,,,,,,,,career office,,,,,,,NWT,,89.99,248.0,Maxi Dress
Calypso St. Barth Black Linen Blend Sundress Embroidered Palm Trees Sz XS NEW Opens in a new window or tab,Calypso St. Barth,dress,new,23.85,sundress,dresses,women,,XS,,Black,,Linen,Blend,Embroidered Palm Trees,,,,,,,,,,,,,Brand New,,198.0,248.0,Maxi Dress
lily pulitzer 12 dress Opens in a new window or tab,Lilly Pulitzer,dress,used,45.0,,dresses,women,,12,,,,,,,,,,,,,,,Lily Pulitzer,,,,New (Other),,198.0,248.0,Maxi Dress
Ann Taylor Ivory Cream Business Casual Dress Pants Size 0 NWT Opens in a new window or tab,Ann Taylor,dress,new,19.99,business casual dress pants,bottoms,women,adult,0,,Ivory,Cream,,,,,,,,,business casual,,,,,,,NWT,,98.0,168.0,Casual Dress
Alice + Olivia Black Hilda Cut-out Bow-Embellished Ruffle Mini Dress Size 6 Opens in a new window or tab,Alice + Olivia,dress,used,40.0,mini dress,dresses,women,adult,6,,black,,,,,,,,,,,,,Hilda,,,,New (Other),,298.0,248.0,Maxi Dress
"Very Volatile Women's Vermont Dress Heeled Sandals, 2 Color Options Opens in a new window or tab",Very Volatile,dress,new,39.99,,dresses,women,adult,,,,,,,,,,,,,,,,Vermont,,,,Brand New,,69.99,248.0,Maxi Dress
Free Assembly Black Cotton Dress Women's Size Small Opens in a new window or tab,Free Assembly,dress,new,16.0,,dresses,women,adult,Small,,Black,,Cotton,,,,,,,,,,,,,,,Brand New,,39.99,248.0,Maxi Dress
NEW Boston Proper Dress Coquette Cottage Floral Romantic Lolita Lace White Large Opens in a new window or tab,Boston Proper,dress,used,37.39,Lolita dress,dresses,women,,L,,White,,Lace,,Floral,,,,,,Romantic,,,Coquette,,,,New (Other),,148.0,145.0,Dress Shirt
Anthropologie Farm Rio Superbloom Tapestry Ruffle Maxi Dress Size M Opens in a new window or tab,Anthropologie,dress,new,107.4,maxi dress,dresses,women,,M,,,,,,tapestry,,,,,,,,,Farm Rio,,,,Other,,168.0,248.0,Maxi Dress
SHEIN Black Faux Patent Leather Zippered Lace Up Corset Dress size 0XL Curve Opens in a new window or tab,SHEIN,dress,new,10.0,corset dress,dresses,women,,0XL,,black,,faux patent leather,lace,,zippered,curve,,,,,,,,,,,other,,25.99,248.0,Maxi Dress
Vince Camuto Size 24W Green Floral Puff-Sleeve Asymetrical Hem Dress Lined NWT Opens in a new window or tab,Vince Camuto,dress,new,29.99,asymetrical hem dress,dresses,women,,24W,,green,,,,floral,,,puff-sleeve,,,,,,,,,,NWT,,98.0,248.0,Maxi Dress
NWT’s Natural Life Coco Maxi Dress Sz M Magenta Tiered Cotton Boho Gauzy Beachy Opens in a new window or tab,Natural Life,dress,new,44.99,maxi dress,dresses,women,,M,,Magenta,,Cotton,,,,,,,Boho,Beachy,,,Coco,,,,Brand New,,59.99,248.0,Maxi Dress
Sz 22W Ashro Aloma Hot Pink Formal Wedding Church Dinner Party Jacket Dress New Opens in a new window or tab,Ashro,dress,new,35.0,jacket dress,dresses,women,,22W,,hot pink,,,,,,plus,,,,"formal, wedding, church, dinner, party",,,Aloma,,,,other,,89.99,248.0,Maxi Dress
Leopard Print Sleeveless Maxi Dress Brown Black Scoop Neck Straps Casual Opens in a new window or tab,unknown,dress,new,7.79,maxi dress,dresses,women,,1X,,brown,black,,,leopard print,,,sleeveless,scoop neck,,casual,,,,,,,,,39.99,248.0,Maxi Dress
Lilly Pulitzer NWT Jane Maxi Dress Purple Iris $328 Size 12 Opens in a new window or tab,Lilly Pulitzer,dress,new,268.0,maxi dress,dresses,women,,12,,Purple,Iris,,,,,,,,,,,,Jane,,,,,,328.0,248.0,Maxi Dress
Popilush Off-Shoulder Bow Built-In Shapewear Maxi Dress Women M Purple NWT Opens in a new window or tab,Popilush,dress,new,74.95,maxi dress,dresses,women,adult,M,,Purple,,,,,,,,off-shoulder,,,,,,,,,NWT,,99.99,248.0,Maxi Dress
Torrid Festi Floral Purple Halter Maxi Dress Size 3X New With Tags Opens in a new window or tab,Torrid,dress,new,65.0,maxi dress,dresses,women,,3X,,purple,,,,floral,,,,halter,,,,,,,,,with tags,,89.99,248.0,Maxi Dress
$170 NWT Anthropologie Maeve Square-Neck Tie-Back A-Line Dress Coral US 14 Opens in a new window or tab,Anthropologie,dress,new,74.98,A-Line dress,dresses,women,adult,14,US,Coral,,,,,,,,Square-Neck,,,,,Maeve,,,,NWT,,170.0,248.0,Maxi Dress
NWT $134 Sz Small L*Space Camille Dress Orange Opens in a new window or tab,L*Space,dress,new,134.0,,dresses,women,,Small,,Orange,,,,,,,,,,,,,Camille,,,,Brand New,,148.0,248.0,Maxi Dress
NWT J. Jill Womens Petite Size XL XLP Purple Velvet Puff Sleeve Shift Dress NEW Opens in a new window or tab,J. Jill,dress,new,39.99,shift dress,dresses,women,,XL,petite,purple,,velvet,,,,,puff sleeve,,,,,,,,,,,,99.99,248.0,Maxi Dress
Adidas Overall Dress Women Small Black Trefoil Sporty Streetwear Utility Opens in a new window or tab,Adidas,dress,used,29.88,overall dress,dresses,women,adult,Small,,Black,,,,,,,,,Sporty,Streetwear,,,,,,,New (Other),,49.99,248.0,Maxi Dress
Tommy Bahama Red Long Dress Sz S Petite Opens in a new window or tab,Tommy Bahama,dress,new,5.5,long dress,dresses,women,,S,Petite,Red,,,,,,,,,,,,,,,,,,,98.99,248.0,Maxi Dress
Magnolia Pearl Beautiful Floral Lace Ruffle Maxi Dress Patchwork SOLD OUT NWT OS Opens in a new window or tab,Magnolia Pearl,dress,new,1088.0,maxi dress,dresses,women,,,,,,lace,,floral,,,,,,,,,,,,,NWT,,998.99,248.0,Maxi Dress
NWT Johnny Was CEECEE Ruffle ALEXA Silk Blend Burnout VELVET Dress L MSRP$435 Opens in a new window or tab,Johnny Was,dress,new,148.99,ruffle dress,dresses,women,,L,,,,silk,blend,burnout velvet,,,,,,,,,CEECEE,ALEXA,,,Brand New,,435.0,248.0,Maxi Dress
Prana Quinn Sleeveless Dress Blue Guava Size XS Halter Shelf Bra Vacation Beach Opens in a new window or tab,prAna,dress,new,12.0,sleeveless dress,dresses,women,,XS,,Blue,Guava,,,,,,sleeveless,,,vacation,,,Quinn,,,,New (Other),,69.99,248.0,Maxi Dress
Betsy & Adam Womens 8 Navy V-Neck Cascade Ruffle High Low Gown Evening N3-14 Opens in a new window or tab,Betsy & Adam,dress,new,149.98,gown,dresses,women,adult,8,,Navy,,,,ruffle,,,,v-neck,,evening,,,,,N3-14,,,,195.0,,Maxi Dress
For Love & Lemons Violetta Black Lace Mini Dress Women’s Size M Opens in a new window or tab,For Love & Lemons,dress,new,60.0,mini dress,dresses,women,adult,M,,black,,lace,,,,,,,,,,,Violetta,,,,other,,198.0,248.0,Maxi Dress
NWT NEW Vans Women's Graduate Dress in Black Floral Size Medium Opens in a new window or tab,Vans,dress,new,27.95,,dresses,women,adult,Medium,,Black,Floral,,,Floral,,,,,,,,,Graduate Dress,,,,NWT,,49.99,90.0,Slip-On Sneakers
NWT Lilly Pulitzer Callista Shift Dress High Collar True Navy XL Opens in a new window or tab,Lilly Pulitzer,dress,new,65.0,shift dress,dresses,women,,XL,,Navy,,,,,,,,High Collar,,,,,Callista,,,,NWT,,198.0,248.0,Maxi Dress
AUTH Zimmermann Locket Print Belted Silk Shirtdress Size 4 AU/12 US Opens in a new window or tab,Zimmermann,dress,used,459.0,shirtdress,dresses,women,,12,US,,,silk,,locket print,,,,,,,,,,,,,New (Other),,695.0,150.0,Shirt Dress
"R & M Richards Foil-Lace Top & Jacket Set, Black/Red, 14 (Without Necklace) Opens in a new window or tab",R & M Richards,dress,new,45.99,jacket set,outerwear,women,,14,,Black,Red,,,Foil-Lace,,,,,,,,,,,,,Brand New,,69.99,,Maxi Dress
White Hollister Medium Sundress Opens in a new window or tab,Hollister,dress,new,12.25,sundress,dresses,women,,M,,White,,,,,,,,,,,,,,,,,,,49.99,248.0,Maxi Dress
"New Listing LOUNGEES House Dress Muumuu Patio Lounger Cotton Pockets Printed Sz M, New Opens in a new window or tab",LOUNGEES,dress,new,14.99,house dress,dresses,women,,M,,,,Cotton,,Printed,,,,,,,,,,,,,,,29.99,248.0,Maxi Dress
NEW Larroude INES Pump Women Size 7 TAN Leather Handmade In Brazil MSRP$330 Opens in a new window or tab,Larroude,shoes,new,158.99,pump,footwear,women,adult,7,us,TAN,,Leather,,,,,,,,,,,INES,,,,Other,,330.0,,Leather Jacket
Belle Beach by Kim Gravel Gauze Popover Shirt Dress-Pink-XL-NEW-A602629 Opens in a new window or tab,Belle Beach by Kim Gravel,dress,new,19.99,shirt dress,dresses,women,,XL,,Pink,,Gauze,,,,,,,,,,,,Belle by Kim Gravel,A602629,,New (Other),,49.99,150.0,Shirt Dress
Chaps Sleeveless Red Dress Size 16 New Opens in a new window or tab,Chaps,dress,new,26.0,,dresses,women,,16,,Red,,,,,,,Sleeveless,,Sleeveless,,,,,,,,Brand New,,49.99,248.0,Maxi Dress
NWT Johnny Was WILD IMANA Floral Midi Dress w/pockets Women Size XL MSRP$420 Opens in a new window or tab,Johnny Was,dress,new,148.99,midi dress,dresses,women,adult,XL,,,,,,Floral,,,,,,,,,,,,,NWT,,420.0,298.0,Midi Dress
Hermes Paris Design Opens in a new window or tab,Hermes,dress,new,75.0,,dresses,women,,M,,,,,,,,,,,,,,,,,,,,,1299.99,,Maxi Dress
J Jill Size L P NWT Black Linen Shift Dress V Neck Pullover Sleeveless Opens in a new window or tab,J Jill,dress,new,27.99,shift dress,dresses,women,,L,Petites,Black,,Linen,,,Pullover,,Sleeveless,V Neck,,,,,,,,,NWT,,98.0,248.0,Maxi Dress
Hollister Yellow Floral Summer Dress Size Small sundress Opens in a new window or tab,Hollister,dress,new,6.0,sundress,dresses,women,,Small,,Yellow,,,,Floral,,,,,,Summer,,,,,,,Other,,49.99,248.0,Maxi Dress
Betsey Johnson Size 6 Black Sleeveless Shift Dress Ruffle Pockets Lined Knit Opens in a new window or tab,Betsey Johnson,dress,used,30.0,shift dress,dresses,women,,6,,black,,knit,,,,,sleeveless,,sleeveless,,,,,,,,New (Other),,98.0,248.0,Maxi Dress
Reformation Laine Dress Portofino Polka Dot Size 0 NWT Opens in a new window or tab,Reformation,dress,new,210.0,polka dot dress,dresses,women,adult,0,,,,,,polka dot,,,,,,,,,Laine Dress,,,,NWT,,298.0,248.0,Maxi Dress
Free People Rainforest Combo Floral Mini Dress Braided Rope Straps XS Opens in a new window or tab,Free People,dress,new,25.0,mini dress,dresses,women,adult,XS,,,,,,floral,,,,,,,,,,,,,Brand New,,98.0,248.0,Maxi Dress
Wonder Woman Adult Dress With Belt & Cape - - Adult Standard Size 6 - 8 Opens in a new window or tab,Wonder Woman,dress,new,29.99,,dresses,women,adult,6 - 8,standard,,,,,,,regular,,,,,,,,,,,,,49.99,248.0,Maxi Dress
CABANA LIFE Beachy Preppy Resort Wear Tunic Blue Coastal Dress (Size M)- NEW Opens in a new window or tab,CABANA LIFE,dress,new,38.0,tunic,dresses,women,,M,,Blue,,,,,,,,,"beachy, preppy",resort,,,,,,,,,49.99,248.0,Maxi Dress
Suncoo Geometry Purple Ruffle Women Dress Sz 2 Opens in a new window or tab,Suncoo,dress,used,1.99,,dresses,women,,2,,Purple,,,,Geometry,,,,,,,,,,,,,New (Other),,49.99,248.0,Maxi Dress
NWT BCBG MAXAZRIA MAREN VELVET CUTOUT PENCIL MIDI DRESS SZ L Opens in a new window or tab,BCBG MAXAZRIA,dress,new,39.99,pencil midi dress,dresses,women,adult,L,,,,velvet,,,,,,,,,,,MAREN,,,,NWT,,248.0,298.0,Midi Dress
J.Crew drop-waist mixy dress Small Black Opens in a new window or tab,J.Crew,dress,new,45.0,drop-waist mixy dress,dresses,women,,Small,,Black,,,,,,,,,,,,,,,,,Brand New,,148.0,248.0,Maxi Dress
$1.6K Escada jacquard poppy floral print shift midi dress sz 44 12 14 XL Opens in a new window or tab,Escada,dress,new,350.0,shift midi dress,dresses,women,adult,14,US,poppy,,jacquard,,floral print,,shift,,,,,,,,,,,Brand New,,1299.99,298.0,Midi Dress
NWT Ultimate! Blues Dress Roses Aop Stretchable Size Medium Made In The USA Opens in a new window or tab,Ultimate!,dress,new,10.99,,dresses,women,,Medium,,Blues,Roses,,,Aop,,,,,,,,,,,,,Brand New,,49.99,248.0,Maxi Dress
Betsy & Adam Womens 14 Black Ombré Cap-Sleeve Glitter Maxi Dress Evening OS16-6 Opens in a new window or tab,Betsy & Adam,dress,new,129.98,maxi dress,dresses,women,adult,14,,black,,,,,,,cap-sleeve,,,evening,,,,,,,,,149.99,248.0,Maxi Dress
Women's Fit and Flare Strapless Midi A-Line Dress - Wild Fable Pink Opens in a new window or tab,Wild Fable,dress,new,11.99,fit and flare strapless midi a-line dress,dresses,women,adult,M,,pink,,,,,strapless,fit and flare,,,,,,,,,,,Brand New,,29.99,298.0,Midi Dress
J. Crew Elena shirt-dress in cotton poplin Womens Size 6 Black Opens in a new window or tab,J. Crew,dress,new,53.4,shirt-dress,dresses,women,adult,6,,Black,,cotton,,,,,,,,,,,Elena,,,,Brand New,,128.0,150.0,Shirt Dress
Women's Fit and Flare Strapless Midi A-Line Dress - Wild Fable Pink Opens in a new window or tab,Wild Fable,dress,new,10.19,a-line dress,dresses,women,,S,,pink,,,,,strapless,fit and flare,,,,,,,,,,,other,,29.99,298.0,Midi Dress
Women's Fit and Flare Strapless Midi A-Line Dress - Wild Fable White Opens in a new window or tab,Wild Fable,dress,new,10.19,midi a-line dress,dresses,women,,2X,,white,,,,,strapless,fit and flare,,,,,,,,,,,other,,49.99,298.0,Midi Dress
Women's Fit and Flare Strapless Midi A-Line Dress - Wild Fable White Opens in a new window or tab,Wild Fable,dress,new,13.59,a-line dress,dresses,women,,M,,white,,,,,strapless,fit and flare,,,,,,,,,,,other,,29.99,298.0,Midi Dress
New Listing Women's Fit and Flare Strapless Midi A-Line Dress - Wild Fable Pink Opens in a new window or tab,Wild Fable,dress,new,11.99,fit and flare strapless midi a-line dress,dresses,women,,S,,pink,,,,,,fit and flare,,strapless,,,,,,,,,Brand New,,29.99,298.0,Midi Dress
Women's Fit and Flare Strapless Midi A-Line Dress - Wild Fable Black Opens in a new window or tab,Wild Fable,dress,used,13.59,midi a-line dress,dresses,women,,L,,black,,,,,,fit and flare,,strapless,,,,,,,,,new (other),,49.99,298.0,Midi Dress
London Times Woman Blue/Ivory Floral Sleeveless Dress – Size 22W NWT Opens in a new window or tab,London Times,dress,new,39.99,,dresses,women,adult,22W,,Blue,Ivory,,,Floral,,,Sleeveless,,Sleeless,,,,,,,,NWT,,49.99,248.0,Maxi Dress
Mud Pie Womens Renee Yarn Dye Dress Sz Med Pink NWT Resort Cruise Vacay Wear Opens in a new window or tab,Mud Pie,dress,new,19.85,,dresses,women,adult,M,,Pink,,,,,,,,,,Resort Cruise Vacay,,,Renee Yarn Dye,,,,NWT,,49.99,248.0,Maxi Dress
NWOT Anthropologie Maeve Navy Green Striped Knit Dress Size Small Opens in a new window or tab,Anthropologie,dress,new,28.0,knit dress,dresses,women,,Small,,Navy,Green,,,Striped,,,,,,,,,Maeve,,,,New (Other),,148.0,248.0,Maxi Dress
Tommy Bahama Dress Womens 8 Pink Blue Bodycon New Opens in a new window or tab,Tommy Bahama,dress,new,24.99,bodycon,dresses,women,adult,8,,pink,blue,,,,,bodycon,,,,,,,,,,,Brand New,,98.0,248.0,Maxi Dress
Thirty Thirty Women's White Dress Sz XS With Flutter Sleeves Opens in a new window or tab,Thirty Thirty,dress,new,9.99,,dresses,women,adult,XS,,White,,,,,,,,,,,,,,,,,Other,,49.99,248.0,Maxi Dress
NWOT Boston Proper XS sequin cutout neckline ruched maxi dress Groovy Hippie Opens in a new window or tab,Boston Proper,dress,new,45.0,maxi dress,dresses,women,,XS,,,,,,,,,,cutout neckline,Groovy Hippie,,,,,,,,New (Other),,98.0,248.0,Maxi Dress
Gap Black Dress-Size M Tall-NWT Opens in a new window or tab,Gap,dress,new,13.0,,dresses,women,,M,Tall,Black,,,,,,,,,,,,,,,,,,,49.99,248.0,Maxi Dress
Rebecca Taylor Hot Pink Fit & Flare Dress Size 4 New Sleeveless Barbiecore Girly Opens in a new window or tab,Rebecca Taylor,dress,new,30.0,fit & flare dress,dresses,women,adult,4,,hot pink,,,,,,fit & flare,sleeveless,,"barbiecore, girly",,,,,,,,new (other),,298.0,248.0,Maxi Dress
NWT Target Pride Size M Multicolor Shirtwaist Button Up Short Sleeve Maxi Dress Opens in a new window or tab,Target,dress,new,15.5,maxi dress,dresses,women,,M,,multicolor,,,,,button up,,short sleeve,,shirtwaist,,,,,,,,,,29.99,248.0,Maxi Dress
Massimo Dutti Womens Maxi Dress L Green Flowing Long Sleeve w slit NWT 6686/593 Opens in a new window or tab,Massimo Dutti,dress,new,119.2,maxi dress,dresses,women,adult,L,,green,,,,,,,long,,,,,,,,6686/593,,NWT,,179.99,248.0,Maxi Dress
POPILUSH NWT Soft Stretch Shirred Padded Bust Black Tank Dress Size Medium Opens in a new window or tab,POPILUSH,dress,new,44.99,tank dress,dresses,women,,Medium,,Black,,,,,,,,tank,,,,,,,,,Brand New,,49.99,248.0,Maxi Dress
NEW Womens Figueroa & Flower Dress Mustard Embroidered Floral Boho Size M Opens in a new window or tab,Figueroa & Flower,dress,new,25.09,,dresses,women,,M,,Mustard,,,,Floral,,,,,,Boho,,,,,,,,,49.99,248.0,Maxi Dress
MAX STUDIO Tiered Long SleeveMaxi Dress. Navy Blue/Turquoise. NWT. Size M Opens in a new window or tab,Max Studio,dress,new,35.0,maxi dress,dresses,women,,M,,Navy Blue,Turquoise,,,,,,long,,,,,,,,,,,,98.99,248.0,Maxi Dress
New Listing Chicos 4 Midi Dress Womens Size XXL 2XL Blue Floral Sleeveless Casual Travel New Opens in a new window or tab,Chicos,dress,new,37.99,midi dress,dresses,women,adult,2XL,,blue,,,,floral,,,sleeveless,,,casual,,,,,,,Brand New,,98.0,298.0,Midi Dress
Women's Floral Dark Navy Time and Tru Smocked Cotton Peasant Dress Size XL Opens in a new window or tab,Time and Tru,dress,new,15.0,peasant dress,dresses,women,adult,XL,,navy,floral,cotton,,floral,,,,,,,,,,,,,Brand New,,29.99,248.0,Maxi Dress
NWT GAP Gauze Dress Size XXL Sage/Olive Green Opens in a new window or tab,GAP,dress,new,19.9,,dresses,women,,XXL,,Sage,Olive Green,Gauze,,,,,,,,,,,,,,,Brand New,,49.99,248.0,Maxi Dress
Babaton Dress Womens Medium Black Bodycon New Opens in a new window or tab,Babaton,dress,new,27.49,bodycon,dresses,women,adult,M,,black,,,,,,bodycon,,,,,,,,,,,Brand New,,98.0,248.0,Maxi Dress
Xscape Womens 10 Navy Blue 3D Flower Bodice Bow Satin Evening Ballgown OS4-12 Opens in a new window or tab,Xscape,dress,new,139.98,evening ballgown,dresses,women,adult,10,,Navy Blue,,Satin,,3D Flower,,,,,,evening,,,,,,,Brand New,,199.99,,Maxi Dress
